SCHOOL_KEY,NETWORK,GOVERNANCE,ANNUAL_REGIONAL_ANALYSIS_REGION,COMMUNITY,REGION_ENCODED
1345,Network 4,District,Greater Lincoln Park,LAKE VIEW,14
1348,Network 6,District,Greater Stockyards,BRIDGEPORT,10
1349,Network 10,District,Far Southwest Side,MOUNT GREENWOOD,0
1350,Network 1,District,Far Northwest Side,NORWOOD PARK,5
1351,Network 10,District,Far Southwest Side,MOUNT GREENWOOD,0
1353,Network 13,District,Greater Calumet,WASHINGTON HEIGHTS,8
1354,Network 10,District,Greater Midway,CLEARING,9
1355,Network 4,District,Greater Milwaukee Avenue,LOGAN SQUARE,13
1356,Network 1,District,Northwest Side,IRVING PARK,4
1357,Network 9,District,Bronzeville / South Lakefront,HYDE PARK,6
1358,Network 13,District,Greater Calumet,WEST PULLMAN,8
1359,Network 3,District,West Side,AUSTIN,2
1360,Network 12,District,Greater Stony Island,CHATHAM,7
1361,Network 4,District,Greater Lincoln Park,LAKE VIEW,14
1362,Network 4,District,Greater Lincoln Park,LINCOLN PARK,14
1363,Network 8,District,Greater Midway,GAGE PARK,9
1364,Network 4,District,Far Northwest Side,HERMOSA,5
1365,ISP,District,West Side,HUMBOLDT PARK,2
1366,Network 1,District,Far Northwest Side,NORWOOD PARK,5
1367,Network 5,District,West Side,HUMBOLDT PARK,2
1368,Network 15,District,Central Area,NEAR NORTH SIDE,0
1369,Network 11,District,South Side,AUBURN GRESHAM,1
1370,Network 12,District,Greater Stony Island,SOUTH SHORE,7
1371,Network 1,District,Far Northwest Side,NORWOOD PARK,5
1372,Network 1,District,Far Northwest Side,NORWOOD PARK,5
1373,Network 5,District,West Side,HUMBOLDT PARK,2
1374,Network 6,District,Greater Milwaukee Avenue,WEST TOWN,13
1375,Network 11,District,South Side,WEST ENGLEWOOD,1
1376,Network 10,District,South Side,ASHBURN,1
1377,Network 9,District,Bronzeville / South Lakefront,DOUGLAS,6
1378,ISP,District,Northwest Side,ALBANY PARK,4
1379,Network 11,District,South Side,ENGLEWOOD,1
1381,Network 12,District,Greater Stony Island,GREATER GRAND CROSSING,7
1382,Network 12,District,Greater Stony Island,SOUTH SHORE,7
1383,Network 8,District,Greater Midway,WEST ELSDON,9
1386,ISP,District,Greater Midway,WEST ELSDON,9
1387,Network 6,District,Near West Side,NEAR WEST SIDE,12
1388,Network 2,District,North Lakefront,EDGEWATER,3
1389,Network 7,District,West Side,NORTH LAWNDALE,2
1390,Network 12,District,Greater Stony Island,BURNSIDE,7
1391,Network 7,District,Pilsen / Little Village,LOWER WEST SIDE,11
1392,Network 9,District,Bronzeville / South Lakefront,DOUGLAS,6
1393,Network 1,District,Northwest Side,NORTH PARK,4
1394,Network 13,District,Greater Calumet,WASHINGTON HEIGHTS,8
1395,Network 7,District,Pilsen / Little Village,LOWER WEST SIDE,11
1396,Network 12,District,Greater Stony Island,CHATHAM,7
1397,ISP,District,West Side,NORTH LAWNDALE,2
1398,Network 13,District,Greater Calumet,PULLMAN,8
1399,Network 5,District,West Side,HUMBOLDT PARK,2
1401,Network 1,District,Far Northwest Side,PORTAGE PARK,5
1402,Network 4,District,Greater Lincoln Park,LINCOLN PARK,14
1403,Network 1,District,Far Northwest Side,PORTAGE PARK,5
1404,Network 6,District,Greater Milwaukee Avenue,LOGAN SQUARE,13
1405,Network 13,District,Greater Calumet,PULLMAN,8
1407,Network 2,District,North Lakefront,LAKE VIEW,3
1408,Network 9,District,Bronzeville / South Lakefront,HYDE PARK,6
1409,Network 9,District,Bronzeville / South Lakefront,KENWOOD,6
1410,Network 4,District,Greater Milwaukee Avenue,AVONDALE,13
1411,Network 1,District,Far Northwest Side,PORTAGE PARK,5
1412,Network 12,District,Greater Stony Island,GREATER GRAND CROSSING,7
